model,prediction_window,test_df_control_ratio,NA_removal_threshold,retro_auc,retro_auprc,retro_recall,retro_precision,retro_f1,retro_accuracy,retro_brier,prospective_auc,prospective_auprc,prospective_recall,prospective_precision,prospective_f1,prospective_accuracy,prospective_brier
lgbm-isotonic,365,,0,0.8668284058135595,0.8868345429853646,0.839357128820049,0.7875213140108263,0.7841778288320856,0.7841778288320856,0.14666057087819517,0.8634288444506539,0.502706621480789,0.8632234622372178,0.18575816810946663,0.6779997015752564,0.6779997015752564,0.202067113251082
xgb-isotonic,365,,0,0.8603807602674379,0.8817921382255147,0.8411955956647712,0.7781669529342197,0.7778184494223424,0.7778184494223424,0.15050094031402061,0.8542522737302798,0.47787517735753643,0.8655593044381001,0.17493705413344524,0.6536780849657877,0.6536780849657877,0.20385353696510372
lr_simpleimpute_mean,365,,0,0.8649548271148417,0.8827790763196083,0.8752731816901207,0.7710628595503772,0.7856078225731573,0.7856078225731573,0.171836845063353,0.8740380728898008,0.5190217289823452,0.9044900077861406,0.16624528931927682,0.6195937160275403,0.6195937160275403,0.22765685740265856
lgb-isotonic-simpleimpute_mean,365,,0,0.8668284058135595,0.8868345429853646,0.839357128820049,0.7875213140108263,0.7841778288320856,0.7841778288320856,0.14666057087819517,0.8634288444506539,0.502706621480789,0.8632234622372178,0.18575816810946663,0.6779997015752564,0.6779997015752564,0.202067113251082
xgb-isotonic-simpleimpute_mean,365,,0,0.8603807602674379,0.8817921382255147,0.8411955956647712,0.7781669529342197,0.7778184494223424,0.7778184494223424,0.15050094031402061,0.8542522737302798,0.47787517735753643,0.8655593044381001,0.17493705413344524,0.6536780849657877,0.6536780849657877,0.20385353696510372
