model,prediction_window,test_df_control_ratio,NA_removal_threshold,retro_auc,retro_auprc,retro_recall,retro_precision,retro_f1,retro_accuracy,retro_brier,prospective_auc,prospective_auprc,prospective_recall,prospective_precision,prospective_f1,prospective_accuracy,prospective_brier
lgbm-isotonic,180,2,80,0.9430228230916962,0.8965418236352259,0.7443977924551262,0.8495456034468205,0.8817132067250082,0.8817132067250082,0.08442750090419246,0.8636430820557157,0.7762911229637691,0.6748241052309575,0.7072779737095223,0.7985112674620171,0.798511267462017,0.14131020807263284
xgb-isotonic,180,2,80,0.9579077629030357,0.9232129715112014,0.7981395046111965,0.8678946753760539,0.9012854497258433,0.9012854497258433,0.07109990627431309,0.8677922026029254,0.7786546162615117,0.8005506271030897,0.6242843511450382,0.7729173039665544,0.7729173039665544,0.16205561130880025
lgb-isotonic-iterativeimpute,180,2,80,0.953498488133895,0.919755055311019,0.7764265774140512,0.8790832682586374,0.8991702676204655,0.8991702676204655,0.07355399972884766,0.8621767503456041,0.758579172660517,0.8427653716732946,0.5867944621938233,0.7497705720403792,0.7497705720403793,0.18488797114218702
xgb-isotonic-iterativeimpute,180,2,80,0.9629677025004666,0.9364820239462804,0.8088911621799824,0.8954896114029238,0.9128508660445187,0.9128508660445187,0.0642239312861334,0.8638416763199372,0.7576071637090623,0.8993576017130621,0.5363006202116016,0.7072499235240136,0.7072499235240135,0.22061795948669355
lr_iterativeimpute,180,2,80,0.9226641771907313,0.877546073454176,0.594680612034105,0.9388417476450919,0.8644377065252914,0.8644377065252914,0.11094034149876289,0.8038302748709315,0.6781036343377183,0.8709085347200979,0.47728415758591786,0.6390333435301315,0.6390333435301315,0.22242518878428835
lr_simpleimpute_mean,180,2,80,0.9226951573933995,0.8800058597425018,0.5918196893420378,0.9449665965069611,0.8648734521950687,0.8648734521950687,0.11126535085572767,0.7840569394951191,0.6506464648399188,0.8657081676353625,0.45718901453957994,0.61262363617824,0.61262363617824,0.23221487289177484
lgb-isotonic-simpleimpute_mean,180,2,80,0.9428760747645923,0.8977762432896821,0.7441757857710842,0.8541140453767693,0.8830658339082755,0.8830658339082755,0.08378115501196466,0.8670610369610384,0.7803974660694508,0.682777607831141,0.7067764407853071,0.7998368512287142,0.7998368512287142,0.13994952241700556
xgb-isotonic-simpleimpute_mean,180,2,80,0.9572070054196322,0.9235693760857095,0.7951980380837571,0.8739422093076198,0.9024565162133701,0.9024565162133702,0.07081838053743503,0.868933634190348,0.7779434993643224,0.8020801468338942,0.6280239520958084,0.7756704394820026,0.7756704394820026,0.16095391924867877
