model,prediction_window,test_df_control_ratio,NA_removal_threshold,train_auc,train_auprc,train_recall,train_precision,train_f1,train_accuracy,test_auc,test_auprc,test_recall,test_precision,test_f1,test_accuracy
lgbm-threshold-50-isotonic,180,2,80,0.9804015980059746,0.9694938465307513,0.877360075921318,0.9370247513267637,0.9403972925391995,0.9403972925391995,0.8766824381837419,0.7917116738639949,0.9809100998890122,0.3701005025125628,0.43714391416944137,0.43714391416944137
lgbm-threshold-50-sigmoid,180,2,80,0.9804510531274095,0.9698278223813954,0.881598434172148,0.9333559767609754,0.940479617393073,0.940479617393073,0.8777000767429456,0.8049561349220855,0.9817980022197558,0.36892151138543666,0.434110247872734,0.434110247872734
lgbm-threshold-75-sigmoid,180,2,80,0.9804510531274095,0.9698278223813954,0.8385529679951136,0.9637200123521076,0.9366515442188563,0.9366515442188563,0.8777000767429456,0.8049561349220855,0.9724750277469478,0.3920357941834452,0.4881243063263041,0.4881243063263041
lgbm-threshold-80-sigmoid,180,2,80,0.9804510531274095,0.9698278223813954,0.8259840848400715,0.9691723902043285,0.9342641466347916,0.9342641466347916,0.8777000767429456,0.8049561349220855,0.969811320754717,0.40134117214771264,0.507732149463559,0.507732149463559
lgbm-threshold-80-sigmoid-bestcv,180,2,80,0.9804510531274095,0.9698278223813954,0.8259840848400715,0.9691723902043285,0.9342641466347916,0.9342641466347916,0.8774422056637032,0.8099543202771395,0.9711431742508324,0.40248390064397427,0.5098039215686274,0.5098039215686274
lgbm-threshold-50-sigmoid-bestcv,180,2,80,0.9804510531274095,0.9698278223813954,0.881598434172148,0.9333559767609754,0.940479617393073,0.940479617393073,0.8774422056637032,0.8099543202771395,0.9835738068812431,0.3688811188811189,0.4335923048464669,0.4335923048464669
lgbm-threshold-50-bestcv,180,2,80,0.9807125347386665,0.9702026758170568,0.8774328942246927,0.9377435720909912,0.9406525008061156,0.9406525008061156,0.8748331672417254,0.8004295769720391,0.9811320754716981,0.3705566733735748,0.43817980022197556,0.43817980022197556
lgbm-threshold-80-bestcv,180,2,80,0.9807125347386665,0.9702026758170568,0.771948992372983,0.9857970295782816,0.9215039067870987,0.9215039067870987,0.8748331672417254,0.8004295769720391,0.9524972253052164,0.46030894657798754,0.6119126896041436,0.6119126896041436
lgbm-threshold-80-isotonic-bestcv,180,2,80,0.9804015980059746,0.9694938465307513,0.7865701958930407,0.9823707534394213,0.9253155209545381,0.9253155209545381,0.8759586401100763,0.7935855104003796,0.960488346281909,0.4435219352193522,0.5851276359600444,0.5851276359600444
lgbm-threshold-90-sigmoid-bestcv,180,2,80,0.9804510531274095,0.9698278223813954,0.788755308794358,0.9811782967273044,0.925702439635019,0.925702439635019,0.8774422056637032,0.8099543202771395,0.9600443951165372,0.44150673744385466,0.5818719940806512,0.5818719940806512
lgbm-threshold-90-isotonic-bestcv,180,2,80,0.9804015980059746,0.9694938465307513,0.7379017489571637,0.990607825378754,0.91168264877051,0.91168264877051,0.8759586401100763,0.7935855104003796,0.9376248612652608,0.49403508771929827,0.6591194968553459,0.6591194968553459
lgbm-threshold-50-isotonic-bestcv,180,1,80,0.9804015980059746,0.9694938465307513,0.877360075921318,0.9370247513267637,0.9403972925391995,0.9403972925391995,0.8757743831308412,0.8770188060147422,0.9815760266370699,0.5400586223742062,0.5728079911209767,0.5728079911209767
lgbm-threshold-80-sigmoid-bestcv,180,1,80,0.9804510531274095,0.9698278223813954,0.8259840848400715,0.9691723902043285,0.9342641466347916,0.9342641466347916,0.8772209445418273,0.8857072627426378,0.9711431742508324,0.5715218811234487,0.6215316315205327,0.6215316315205327
lgbm-threshold-80-bestcv,180,1,80,0.9807125347386665,0.9702026758170568,0.771948992372983,0.9857970295782816,0.9215039067870987,0.9215039067870987,0.8749196909094716,0.8800123755512,0.9524972253052164,0.6277062609713283,0.6937846836847946,0.6937846836847946
lgbm-threshold-80-bestcv,180,1,80,0.9807125347386665,0.9702026758170568,0.771948992372983,0.9857970295782816,0.9215039067870987,0.9215039067870987,0.8749196909094716,0.8800123755512,0.9524972253052164,0.6277062609713283,0.6937846836847946,0.6937846836847946
lgbm-threshold-80-bestcv,180,1,80,0.9807125347386665,0.9702026758170568,0.771948992372983,0.9857970295782816,0.9215039067870987,0.9215039067870987,0.8749196909094716,0.8800123755512,0.9524972253052164,0.6277062609713283,0.6937846836847946,0.6937846836847946
