model,prediction_window,test_df_control_ratio,NA_removal_threshold,retro_auc,retro_auprc,retro_recall,retro_precision,retro_f1,retro_accuracy,retro_brier,prospective_auc,prospective_auprc,prospective_recall,prospective_precision,prospective_f1,prospective_accuracy,prospective_brier
lgbm-isotonic,730,2,80,0.9588849200018488,0.9241001809857603,0.7966481087223747,0.8786718808409861,0.9104629524783245,0.9104629524783244,0.06584507373895024,0.843463712772616,0.7509778965119941,0.7801293356848913,0.586389748121962,0.7432882618067803,0.7432882618067803,0.18008551303510822
xgb-isotonic,730,2,80,0.9513084346271743,0.9078033904779372,0.7673312968158945,0.8602813622954324,0.8979306846353429,0.897930684635343,0.07398427384971533,0.8411867210939652,0.7474598167993816,0.6843033509700176,0.6554054054054054,0.7748383303938859,0.7748383303938859,0.1577842065313788
lgb-isotonic-iterativeimpute,730,2,80,0.9602976770494345,0.9287066432018617,0.804488541634515,0.8886343811880276,0.9153148822747845,0.9153148822747845,0.0631927694804148,0.8212452231819924,0.714156691486461,0.9259259259259259,0.4578488372093023,0.6098373505780913,0.6098373505780913,0.28408631211722507
xgb-isotonic-iterativeimpute,730,2,80,0.9552332160967899,0.9160574852240155,0.7865215756694774,0.8655270833717079,0.9040012097800865,0.9040012097800865,0.06978124931993074,0.8245597481994373,0.7154660749179614,0.8389182833627278,0.511286277319957,0.6790123456790124,0.6790123456790124,0.2237557438944599
lr_iterativeimpute,730,2,80,0.917293551808682,0.8627946332783154,0.5208767962679075,0.9688139496941433,0.8582767545298262,0.8582767545298262,0.11611041761275087,0.7794291216461182,0.6374441782359201,0.7954144620811288,0.5027870680044593,0.6696061140505585,0.6696061140505585,0.20869265464779108
lr_simpleimpute_mean,730,2,80,0.9168103472591713,0.8627114710544573,0.5191650780679308,0.9689485713773675,0.8578183919068567,0.8578183919068567,0.1164362787322979,0.7733418216140796,0.6340185618058445,0.7912992357436802,0.5052552552552553,0.6721536351165981,0.6721536351165981,0.20934224964508025
lgb-isotonic-simpleimpute_mean,730,2,80,0.9576176679377209,0.922990744502767,0.7990352967776799,0.8789856565319123,0.9111225408391391,0.9111225408391391,0.06616981621417975,0.8484034013951057,0.7531202149936784,0.8018812463256908,0.5879310344827586,0.7466196355085245,0.7466196355085244,0.17848158113026946
xgb-isotonic-simpleimpute_mean,730,2,80,0.9508086862214267,0.9081935469060233,0.7683994365557514,0.8645545990853329,0.8994399256624408,0.8994399256624408,0.07366812921256932,0.8443684439177288,0.7504025440819133,0.6878306878306878,0.6485587583148559,0.7717029198510679,0.771702919851068,0.15759700257921339
